[2025-12-16 13:53:28 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:04:24 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:08:46 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:08:58 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:40:06 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-16 14:41:55 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-16 14:43:05 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-16 14:43:55 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-16 14:45:18 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-16 14:46:00 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:13 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:42 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:47 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:55 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:59 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:19:01 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:19:10 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:19:36 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:26:20 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:26:49 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:26:53 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:26:56 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:27:01 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:27:50 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:28:16 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:28:48 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:28:52 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:28:55 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:33:29 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:33:47 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:34:09 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:34:17 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:34:27 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:54:56 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:55:29 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
